workerID,gender,age,income,language,order,animalID,animal,QUD,condition,isMetaphor,rating
17,F,35,4,English,7,12,rabbit,null,figurative,T,0.63
17,F,35,4,English,8,2,whale,null,figurative,T,0.82
17,F,35,4,English,9,11,lion,strong,figurative,T,0.88
17,F,35,4,English,10,9,cheetah,agile,figurative,T,0.93
17,F,35,4,English,11,3,bird,fast,figurative,T,0.6
17,F,35,4,English,12,4,elephant,big,literal,F,null
18,M,25,10,English,1,12,rabbit,cute,figurative,T,0.19
18,M,25,10,English,2,10,turtle,slow,figurative,T,0.72
18,M,25,10,English,3,4,elephant,null,figurative,T,0.14
18,M,25,10,English,4,2,whale,big,figurative,T,0.63
18,M,25,10,English,5,11,lion,null,literal,T,0.11
18,M,25,10,English,6,9,cheetah,fast,literal,F,null
18,M,25,10,English,7,6,monkey,smart,figurative,T,0.35
18,M,25,10,English,8,1,ant,null,figurative,T,0.12
18,M,25,10,English,9,5,panda,cute,figurative,T,0.74
18,M,25,10,English,10,8,giraffe,long,literal,F,null
18,M,25,10,English,11,3,bird,null,figurative,T,0.05
18,M,25,10,English,12,7,penguin,null,figurative,T,0.04
19,M,45,6,english,1,4,elephant,hard,figurative,T,0.04
19,M,45,6,english,2,9,cheetah,fast,literal,F,null
19,M,45,6,english,3,5,panda,big,figurative,T,0.27
19,M,45,6,english,4,11,lion,null,figurative,F,null
19,M,45,6,english,5,10,turtle,strong,figurative,T,0.16
19,M,45,6,english,6,8,giraffe,tall,literal,F,null
19,M,45,6,english,7,1,ant,null,figurative,F,null
19,M,45,6,english,8,2,whale,big,figurative,T,0.85
19,M,45,6,english,9,3,bird,small,figurative,T,0.65
19,M,45,6,english,10,7,penguin,null,figurative,F,null
19,M,45,6,english,11,6,monkey,null,figurative,F,null
19,M,45,6,english,12,12,rabbit,null,literal,F,null
20,F,35,4,English ,1,6,monkey,funny,figurative,T,0.85
20,F,35,4,English ,2,11,lion,fierce,figurative,T,0.83
20,F,35,4,English ,3,10,turtle,slow,literal,F,0.03
20,F,35,4,English ,4,5,panda,cute,figurative,T,0.86
20,F,35,4,English ,5,1,ant,small,figurative,T,0.99
20,F,35,4,English ,6,3,bird,small,figurative,T,0.21
20,F,35,4,English ,7,8,giraffe,long,literal,F,0.03
20,F,35,4,English ,8,4,elephant,null,figurative,T,0.6
20,F,35,4,English ,9,9,cheetah,null,figurative,T,0.48
20,F,35,4,English ,10,2,whale,majestic,figurative,T,0.5
20,F,35,4,English ,11,7,penguin,funny,literal,F,0.03
20,F,35,4,English ,12,12,rabbit,fast,figurative,T,0.57
21,M,25,0,english,1,3,bird,small,figurative,F,0.14
21,M,25,0,english,2,11,lion,strong,literal,F,0
