workerID,gender,age,income,language,order,item,dimension,bin,prior
4,M,35,6,English,11,woman,speed,12,0.0066889632107
4,M,35,6,English,11,woman,speed,14,0.0066889632107
4,M,35,6,English,11,woman,speed,16,0.0066889632107
4,M,35,6,English,11,woman,speed,18,0.0
4,M,35,6,English,11,woman,speed,20,0.0
4,M,35,6,English,11,woman,speed,60,0.00334448160535
4,M,35,6,English,12,man,speed,0,0.248648648649
4,M,35,6,English,12,man,speed,1,0.251351351351
4,M,35,6,English,12,man,speed,5,0.251351351351
4,M,35,6,English,12,man,speed,10,0.191891891892
4,M,35,6,English,12,man,speed,12,0.0513513513514
4,M,35,6,English,12,man,speed,14,0.0027027027027
4,M,35,6,English,12,man,speed,16,0.0
4,M,35,6,English,12,man,speed,18,0.0027027027027
4,M,35,6,English,12,man,speed,20,0.0
4,M,35,6,English,12,man,speed,60,0.0
5,F,25,4,English,1,man,speed,0,0.366037735849
5,F,25,4,English,1,man,speed,1,0.271698113208
5,F,25,4,English,1,man,speed,5,0.203773584906
5,F,25,4,English,1,man,speed,10,0.0452830188679
5,F,25,4,English,1,man,speed,12,0.00754716981132
5,F,25,4,English,1,man,speed,14,0.0377358490566
5,F,25,4,English,1,man,speed,16,0.0301886792453
5,F,25,4,English,1,man,speed,18,0.022641509434
5,F,25,4,English,1,man,speed,20,0.011320754717
5,F,25,4,English,1,man,speed,60,0.00377358490566
5,F,25,4,English,2,bird,weight,0,0.584337349398
5,F,25,4,English,2,bird,weight,10,0.21686746988
5,F,25,4,English,2,bird,weight,100,0.102409638554
5,F,25,4,English,2,bird,weight,120,0.0602409638554
5,F,25,4,English,2,bird,weight,140,0.0
5,F,25,4,English,2,bird,weight,160,0.00602409638554
5,F,25,4,English,2,bird,weight,180,0.00602409638554
5,F,25,4,English,2,bird,weight,200,0.0120481927711
5,F,25,4,English,2,bird,weight,220,0.00602409638554
5,F,25,4,English,2,bird,weight,10000,0.00602409638554
5,F,25,4,English,3,woman,speed,0,0.473170731707
5,F,25,4,English,3,woman,speed,1,0.317073170732
5,F,25,4,English,3,woman,speed,5,0.151219512195
5,F,25,4,English,3,woman,speed,10,0.0439024390244
5,F,25,4,English,3,woman,speed,12,0.00975609756098
5,F,25,4,English,3,woman,speed,14,0.00487804878049
5,F,25,4,English,3,woman,speed,16,0.0
5,F,25,4,English,3,woman,speed,18,0.0
5,F,25,4,English,3,woman,speed,20,0.0
5,F,25,4,English,3,woman,speed,60,0.0
5,F,25,4,English,4,woman,weight,0,0.0
5,F,25,4,English,4,woman,weight,10,0.157360406091
5,F,25,4,English,4,woman,weight,100,0.150592216582
5,F,25,4,English,4,woman,weight,120,0.162436548223
5,F,25,4,English,4,woman,weight,140,0.159052453469
5,F,25,4,English,4,woman,weight,160,0.126903553299
5,F,25,4,English,4,woman,weight,180,0.113367174281
5,F,25,4,English,4,woman,weight,200,0.123519458545
5,F,25,4,English,4,woman,weight,220,0.00169204737733
5,F,25,4,English,4,woman,weight,10000,0.00507614213198
5,F,25,4,English,5,cheetah,speed,0,0.0668286755772
5,F,25,4,English,5,cheetah,speed,1,0.0716889428919
5,F,25,4,English,5,cheetah,speed,5,0.10085054678
5,F,25,4,English,5,cheetah,speed,10,0.10085054678
5,F,25,4,English,5,cheetah,speed,12,0.116646415553
