animal,feature,featureType,question,bin,Freq
elephant,cute,expanded,hard,1,0.333333333333333
elephant,cute,expanded,hard,2,0.166666666666667
elephant,cute,expanded,hard,3,0.166666666666667
elephant,cute,expanded,hard,4,0.166666666666667
elephant,fast,expanded,big,0,0.375
elephant,fast,expanded,big,1,0.25
elephant,fast,expanded,big,2,0.125
elephant,fast,expanded,big,3,0.125
elephant,fast,expanded,big,4,0.125
elephant,fast,expanded,general,0,0.384615384615385
elephant,fast,expanded,general,1,0.153846153846154
elephant,fast,expanded,general,2,0.0769230769230769
elephant,fast,expanded,general,3,0.230769230769231
elephant,fast,expanded,general,4,0.153846153846154
elephant,fast,expanded,hard,0,0.166666666666667
elephant,fast,expanded,hard,1,0.333333333333333
elephant,fast,expanded,hard,2,0.166666666666667
elephant,fast,expanded,hard,3,0.166666666666667
elephant,fast,expanded,hard,4,0.166666666666667
elephant,fierce,expanded,big,0,0.25
elephant,fierce,expanded,big,1,0.25
elephant,fierce,expanded,big,2,0.25
elephant,fierce,expanded,big,3,0.125
elephant,fierce,expanded,big,4,0.125
elephant,fierce,expanded,general,0,0.307692307692308
elephant,fierce,expanded,general,1,0.153846153846154
elephant,fierce,expanded,general,2,0.230769230769231
elephant,fierce,expanded,general,3,0.230769230769231
elephant,fierce,expanded,general,4,0.0769230769230769
elephant,fierce,expanded,hard,0,0.166666666666667
elephant,fierce,expanded,hard,1,0.166666666666667
elephant,fierce,expanded,hard,2,0.333333333333333
elephant,fierce,expanded,hard,3,0.166666666666667
elephant,fierce,expanded,hard,4,0.166666666666667
elephant,friendly,expanded,big,0,0.25
elephant,friendly,expanded,big,1,0.125
elephant,friendly,expanded,big,2,0.25
elephant,friendly,expanded,big,3,0.25
elephant,friendly,expanded,big,4,0.125
elephant,friendly,expanded,general,0,0.153846153846154
elephant,friendly,expanded,general,1,0.0769230769230769
elephant,friendly,expanded,general,2,0.461538461538462
elephant,friendly,expanded,general,3,0.230769230769231
elephant,friendly,expanded,general,4,0.0769230769230769
elephant,friendly,expanded,hard,0,0.166666666666667
elephant,friendly,expanded,hard,1,0.166666666666667
elephant,friendly,expanded,hard,2,0.333333333333333
elephant,friendly,expanded,hard,3,0.166666666666667
elephant,friendly,expanded,hard,4,0.166666666666667
elephant,hairy,expanded,big,0,0.125
elephant,hairy,expanded,big,1,0.375
elephant,hairy,expanded,big,2,0.25
elephant,hairy,expanded,big,3,0.125
elephant,hairy,expanded,big,4,0.125
elephant,hairy,expanded,general,0,0.307692307692308
elephant,hairy,expanded,general,1,0.307692307692308
elephant,hairy,expanded,general,2,0.153846153846154
elephant,hairy,expanded,general,3,0.153846153846154
elephant,hairy,expanded,general,4,0.0769230769230769
elephant,hairy,expanded,hard,0,0.166666666666667
elephant,hairy,expanded,hard,1,0.166666666666667
elephant,hairy,expanded,hard,2,0.333333333333333
elephant,hairy,expanded,hard,3,0.166666666666667
elephant,hairy,expanded,hard,4,0.166666666666667
elephant,hard,core,big,0,0.25
elephant,hard,core,big,1,0.25
elephant,hard,core,big,2,0.25
elephant,hard,core,big,3,0.125
elephant,hard,core,big,4,0.125
elephant,hard,core,general,0,0.230769230769231
elephant,hard,core,general,1,0.153846153846154
elephant,hard,core,general,2,0.384615384615385
elephant,hard,core,general,3,0.0769230769230769
elephant,hard,core,general,4,0.153846153846154
elephant,hard,core,hard,0,0.166666666666667
