workerid,utteranceType,trial_type,animalID,feature,animal,alternative,utterance,response
2,literal,multi_slider,2,fierce,whale,lion,majestic,0.68
2,literal,multi_slider,2,fierce,whale,man,majestic,0.36
2,literal,multi_slider,2,fierce,whale,horse,majestic,0.23
2,literal,multi_slider,2,fierce,whale,elephant,majestic,0.42
2,literal,multi_slider,2,proud,whale,whale,majestic,0.41
2,literal,multi_slider,2,proud,whale,average man,majestic,0.73
2,literal,multi_slider,2,proud,whale,eagle,majestic,0.54
2,literal,multi_slider,2,proud,whale,lion,majestic,0.64
2,literal,multi_slider,2,proud,whale,man,majestic,0.67
2,literal,multi_slider,2,proud,whale,horse,majestic,0.57
2,literal,multi_slider,2,proud,whale,elephant,majestic,0.53
2,literal,multi_slider,2,big,whale,whale,majestic,0.87
2,literal,multi_slider,2,big,whale,average man,majestic,0.13
2,literal,multi_slider,2,big,whale,eagle,majestic,0.07
2,literal,multi_slider,2,big,whale,lion,majestic,0.11
2,literal,multi_slider,2,big,whale,man,majestic,0.14
2,literal,multi_slider,2,big,whale,horse,majestic,0.12
2,literal,multi_slider,2,big,whale,elephant,majestic,0.43
2,figurative,multi_slider,11,striped,lion,man,lion,0
2,figurative,multi_slider,11,striped,lion,average man,lion,0
2,figurative,multi_slider,11,striped,lion,elephant,lion,0
2,figurative,multi_slider,11,striped,lion,bear,lion,0
2,figurative,multi_slider,11,striped,lion,horse,lion,0
2,figurative,multi_slider,11,striped,lion,gorilla,lion,0
2,figurative,multi_slider,11,striped,lion,lion,lion,0
2,figurative,multi_slider,11,striped,lion,tiger,lion,0.61
2,figurative,multi_slider,11,fast,lion,man,lion,0.26
2,figurative,multi_slider,11,fast,lion,average man,lion,0.25
2,figurative,multi_slider,11,fast,lion,elephant,lion,0.44
2,figurative,multi_slider,11,fast,lion,bear,lion,0.13
2,figurative,multi_slider,11,fast,lion,horse,lion,0.39
2,figurative,multi_slider,11,fast,lion,gorilla,lion,0.29
2,figurative,multi_slider,11,fast,lion,lion,lion,0.39
2,figurative,multi_slider,11,fast,lion,tiger,lion,0.45
2,figurative,multi_slider,11,fierce,lion,man,lion,0.14
2,figurative,multi_slider,11,fierce,lion,average man,lion,0.16
2,figurative,multi_slider,11,fierce,lion,elephant,lion,0.31
2,figurative,multi_slider,11,fierce,lion,bear,lion,0.46
2,figurative,multi_slider,11,fierce,lion,horse,lion,0.15
2,figurative,multi_slider,11,fierce,lion,gorilla,lion,0.55
2,figurative,multi_slider,11,fierce,lion,lion,lion,0.66
2,figurative,multi_slider,11,fierce,lion,tiger,lion,0.53
2,figurative,multi_slider,11,hairy,lion,man,lion,0.08
2,figurative,multi_slider,11,hairy,lion,average man,lion,0.06
2,figurative,multi_slider,11,hairy,lion,elephant,lion,0.02
2,figurative,multi_slider,11,hairy,lion,bear,lion,0.49
2,figurative,multi_slider,11,hairy,lion,horse,lion,0.49
2,figurative,multi_slider,11,hairy,lion,gorilla,lion,0.7
2,figurative,multi_slider,11,hairy,lion,lion,lion,0.62
2,figurative,multi_slider,11,hairy,lion,tiger,lion,0.73
2,figurative,multi_slider,11,strong,lion,man,lion,0.33
2,figurative,multi_slider,11,strong,lion,average man,lion,0.34
2,figurative,multi_slider,11,strong,lion,elephant,lion,0.61
2,figurative,multi_slider,11,strong,lion,bear,lion,0.44
2,figurative,multi_slider,11,strong,lion,horse,lion,0.31
2,figurative,multi_slider,11,strong,lion,gorilla,lion,0.49
2,figurative,multi_slider,11,strong,lion,lion,lion,0.46
2,figurative,multi_slider,11,strong,lion,tiger,lion,0.45
2,figurative,multi_slider,11,hard,lion,man,lion,0.11
2,figurative,multi_slider,11,hard,lion,average man,lion,0.1
2,figurative,multi_slider,11,hard,lion,elephant,lion,0.22
2,figurative,multi_slider,11,hard,lion,bear,lion,0.18
2,figurative,multi_slider,11,hard,lion,horse,lion,0.21
2,figurative,multi_slider,11,hard,lion,gorilla,lion,0.23
2,figurative,multi_slider,11,hard,lion,lion,lion,0.13
2,figurative,multi_slider,11,hard,lion,tiger,lion,0.11
2,figurative,multi_slider,11,big,lion,man,lion,0.3
2,figurative,multi_slider,11,big,lion,average man,lion,0.3
2,figurative,multi_slider,11,big,lion,elephant,lion,0.67
2,figurative,multi_slider,11,big,lion,bear,lion,0.36
2,figurative,multi_slider,11,big,lion,horse,lion,0.34
2,figurative,multi_slider,11,big,lion,gorilla,lion,0.33
2,figurative,multi_slider,11,big,lion,lion,lion,0.33
2,figurative,multi_slider,11,big,lion,tiger,lion,0.34
2,literal,multi_slider,7,playful,penguin,monkey,funny,0.58
2,literal,multi_slider,7,playful,penguin,man,funny,0.52
2,literal,multi_slider,7,playful,penguin,penguin,funny,0.33
2,literal,multi_slider,7,playful,penguin,average man,funny,0.45
2,literal,multi_slider,7,playful,penguin,cat,funny,0.7
